	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
120.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
121	34.1516238153	32.6638829708	39.9640769958	33.0801395774	34.227165699	9.76346048713	9.21814918518	11.079679966	9.26917821169	10.2404961586	6.01576840878	4.96940398216	8.28802704811	5.37774342299	6.52141690254	2.828865625	2.69459	2.91903	2.750855	2.902705	
124.75	33.057788	-	-	-	-	9.70063	-	-	-	-	6.55607	-	-	-	-	2.88624	-	-	-	-	
128.5	33.446114	-	-	-	-	9.808345	-	-	-	-	6.417458	-	-	-	-	2.81577	-	-	-	-	
132.25	32.765187	-	-	-	-	9.29974	-	-	-	-	5.438912	-	-	-	-	2.74182	-	-	-	-	
136.0	39.964077	-	-	-	-	9.218149	-	-	-	-	5.668472	-	-	-	-	2.91565	-	-	-	-	
139.75	32.774924	-	-	-	-	9.257135	-	-	-	-	5.444438	-	-	-	-	2.77796	-	-	-	-	
143.5	33.971498	-	-	-	-	9.371938	-	-	-	-	5.434264	-	-	-	-	2.83909	-	-	-	-	
147.25	34.323456	-	-	-	-	11.07968	-	-	-	-	7.685953	-	-	-	-	2.69459	-	-	-	-	
151.0	34.281689	-	-	-	-	10.675743	-	-	-	-	6.212801	-	-	-	-	2.89654	-	-	-	-	
154.75	33.688588	-	-	-	-	9.579763	-	-	-	-	5.310185	-	-	-	-	2.91903	-	-	-	-	
158.5	36.573934	-	-	-	-	9.521264	-	-	-	-	5.453409	-	-	-	-	2.80841	-	-	-	-	
162.25	32.663883	-	-	-	-	9.252896	-	-	-	-	4.969404	-	-	-	-	2.71136	-	-	-	-	
